OTU ID,RDYS_1,RDYS_2,RDYS_3,RDYS_4,RDYS_5
ASV_1060,0,0,0,0,0
ASV_1064,2,0,18,13,10
ASV_1066,0,0,0,0,0
ASV_1067,63,9,17,38,36
ASV_1068,0,0,0,0,0
ASV_1070,0,11,0,0,0
ASV_1071,0,0,0,0,0
ASV_1072,0,0,0,0,0
ASV_1073,0,0,0,0,0
ASV_1075,0,0,0,0,0
ASV_1076,0,0,0,0,0
ASV_1077,0,0,0,0,0
ASV_1078,0,0,0,0,0
ASV_1079,0,0,0,0,0
ASV_1081,0,0,0,0,0
ASV_1083,0,0,0,0,0
ASV_1086,0,0,0,0,0
ASV_1087,0,0,6,0,0
ASV_1089,0,0,0,0,0
ASV_1090,0,0,0,0,0
ASV_1091,0,0,0,0,0
ASV_1092,0,0,0,0,0
ASV_1093,0,0,0,0,0
ASV_1095,0,0,0,0,0
ASV_1096,0,0,0,0,0
ASV_1097,0,0,0,0,0
ASV_1098,0,0,0,0,0
ASV_1100,0,0,0,0,0
ASV_1101,0,0,0,0,0
ASV_1103,0,0,5,0,0
ASV_1104,0,0,0,0,0
ASV_1105,2,0,0,0,0
ASV_1106,0,0,0,0,0
ASV_1108,0,0,0,0,0
ASV_1110,0,0,0,0,0
ASV_1111,0,0,0,0,0
ASV_1112,0,0,0,0,0
ASV_1113,0,0,0,0,0
ASV_1115,0,0,0,0,0
ASV_1117,2,0,0,0,0
ASV_1118,0,0,0,0,0
ASV_1119,0,4,0,0,0
ASV_1120,0,0,0,0,0
ASV_1122,3,0,0,0,0
ASV_1123,0,0,0,0,0
ASV_1124,0,0,0,0,0
ASV_1126,2,0,0,0,0
ASV_1127,0,0,0,0,0
ASV_1128,2,3,1,0,0
ASV_1130,0,0,0,0,0
ASV_1131,0,0,0,0,0
ASV_1132,0,0,0,0,0
ASV_1133,0,0,0,0,0
ASV_1134,0,0,0,0,9
ASV_1135,0,0,0,0,0
ASV_1136,0,4,0,0,0
ASV_1138,0,0,0,0,0
ASV_1139,0,0,0,0,0
ASV_1141,0,0,0,3,0
ASV_1142,0,0,0,0,0
ASV_1143,0,0,0,0,0
ASV_1144,0,0,0,2,0
ASV_1147,0,0,0,0,0
ASV_1148,0,0,0,0,0
ASV_1149,0,0,0,0,0
ASV_1151,0,0,0,0,0
ASV_1152,0,0,0,0,0
ASV_1153,0,0,0,0,0
ASV_1154,2,0,0,0,0
ASV_1156,0,0,0,0,0
ASV_1157,0,0,0,0,0
ASV_1158,7,1,0,0,0
ASV_1159,0,0,0,0,0
ASV_1161,0,0,0,0,0
ASV_1163,7,0,0,0,0
ASV_1164,0,0,0,0,0
ASV_1165,0,0,0,0,0
ASV_1168,0,0,0,4,0
ASV_1169,0,0,0,0,0
ASV_1170,0,0,0,0,0
ASV_1172,0,0,0,0,0
ASV_1173,0,0,0,0,0
ASV_1174,0,0,0,0,0
ASV_1175,0,0,0,0,0
