ID,YS0_F,YS25_F,YS50_F,YS75_F,YS100_F,
MP11321.pos,3702188.576,526219.7758,462605.2257,811534.7452,900773.4507,Unclassified
MP11322.pos,87382.9742,35061.73417,62680.04314,111732.9403,24192.56729,Unclassified
MP11323.pos,166394.6212,256808.5827,180408.7943,179397.5615,99983.12057,Unclassified
MP11324.pos,83641.31875,110141.0867,108229.9904,101600.1766,139011.0782,Unclassified
MP11325.pos,51080.28127,29956.94861,57431.093,57558.41922,113606.4063,Unclassified
MP11328.pos,321879.243,100413.2026,342883.4817,286978.5624,264035.7858,Unclassified
MP11329.pos,81577.62605,88335.37759,93610.21373,132109.9094,142426.7717,Unclassified
MP11330.pos,78911.2473,51047.44755,46848.03001,110553.0428,83305.07011,Unclassified
MP11331.pos,36230.79028,69917.91359,65491.89592,89123.10557,90926.50601,Unclassified
MP11332.pos,10775.06947,55404.11046,5536.528975,20576.589,10386.17099,Unclassified
MP11333.pos,157587.9441,164437.472,186070.4408,176400.3064,205831.7893,Unclassified
MP11334.pos,55300.21552,68034.14343,56618.06225,78778.93474,39846.738,Unclassified
MP11335.pos,58419.09598,25088.91077,36687.03067,82740.28073,26088.83968,Unclassified
MP11336.pos,172823.0747,224203.1903,194302.9664,164937.8424,201497.5821,Unclassified
MP11337.pos,1049470.479,1153691.034,1044792.719,1072508.575,1182364.872,Unclassified
MP11339.pos,20680.27628,19589.27397,11320.72394,15581.60186,16933.39183,Unclassified
MP11340.pos,28082.44573,15437.48081,22222.00216,15065.52546,17887.17123,Unclassified
MP11341.pos,32215.42861,31537.60276,30210.17469,18370.96192,15331.35005,Unclassified
MP11342.pos,14756.88032,25417.20666,16673.06106,12595.2432,19745.38329,Unclassified
MP11343.pos,17511.69431,31143.35151,19248.85886,20267.74874,18574.96987,Unclassified
MP11344.pos,28418.20744,18071.24052,11784.05692,14063.15138,15654.94458,Unclassified
MP11348.pos,74212.57569,148868.9658,73862.21213,105871.307,85518.30842,Unclassified
MP11354.pos,47320.89961,74429.57683,71326.08005,79549.14338,10883.54398,Unclassified
MP11356.pos,1055571.274,223853.6459,127087.8795,136616.8221,116975.6433,Benzofurans
MP11357.pos,986347.169,42293.34078,107364.8692,35478.34565,52577.96974,Unclassified
MP11358.pos,374012.2691,306132.2043,385888.1997,398962.8237,438350.1096,Prenol lipids
MP11359.pos,71682.98103,147198.6595,97382.31567,97710.05726,84213.79272,Unclassified
MP11360.pos,454885.5428,530296.4374,690961.8861,767002.5164,484855.4841,Unclassified
MP11361.pos,238668.3761,229670.6538,101551.1035,219798.2684,122866.4331,Unclassified
MP11362.pos,487473.9183,593437.776,397941.4911,507140.979,361044.8198,Unclassified
MP11363.pos,200479.1337,161157.7568,214718.1101,285417.3306,164018.089,Unclassified
MP11364.pos,11401493.7,29969987.4,23455550.58,33210524.51,21341691.07,Cinnamic acids and derivatives
MP11365.pos,260756.0204,323552.8623,109853.1951,98238.00004,190538.9788,Unclassified
MP11366.pos,352507.7867,114362.2098,53910.59866,204631.1871,228489.7883,Unclassified
MP11367.pos,133525.1165,69309.01689,94634.46429,132459.4511,83069.95455,Unclassified
MP11368.pos,146635.4884,15244.03347,95910.30299,66643.9107,110400.4248,Unclassified
MP11371.pos,475890.4145,334041.3506,366875.53,527885.0998,425562.0285,Unclassified
MP11372.pos,1699677.76,968812.9489,1087023.209,1559481.772,946259.7277,Unclassified
MP11373.pos,1094750.927,620601.3925,655769.7356,967177.0666,673320.5951,Unclassified
MP11374.pos,3524056.476,2152630.573,2559441.75,3554236.713,2304725.648,Unclassified
MP11375.pos,599254.6239,400920.0456,489010.8139,679071.015,409504.4301,Unclassified
MP11376.pos,9085377.714,18486578.4,6430678.71,9486358.894,5564930.754,Unclassified
MP11377.pos,165093.0816,310203.0036,204684.9946,268242.4298,431725.5857,Unclassified
MP11378.pos,276223.1939,402583.2872,375512.9225,228753.5819,225955.7064,Unclassified
MP11379.pos,11437518.03,9673734.389,8733178.471,10766077.94,8571267.046,Fatty Acyls
MP11380.pos,800387.7192,1354185.546,1037450.533,1117632.589,924457.4541,Unclassified
MP11381.pos,5850658.916,3968498.297,4421421.436,6734066.326,4533718.373,Unclassified
MP11382.pos,15446406.72,10798600.12,11664897.86,17704791.63,10995312.24,Unclassified
MP11383.pos,170477.3557,172560.1748,265021.803,222576.5054,262532.4314,Unclassified
MP11384.pos,135105.9056,232918.5353,310392.2397,285934.0611,139999.0551,Unclassified
MP11385.pos,277508.5588,286428.6878,115633.0779,208108.1664,285931.4245,Unclassified
MP11394.pos,1533211.33,1909199.691,1350746.303,1105556.604,1304116.764,Unclassified
MP11399.pos,1051510.376,1034664.073,980823.0782,1072800.981,1027384.746,Unclassified
MP11400.pos,28327022.09,29738568.48,26913790.78,28750065.73,30184217.67,Unclassified
MP11401.pos,17975.96643,16006.78146,94304.06208,129822.9774,86193.59549,Unclassified
MP11402.pos,57632.67974,48746.63749,84050.71832,85226.26026,73583.91728,Unclassified
MP11403.pos,1292287.67,584393.3949,866429.9243,666811.0431,778197.8583,Unclassified
MP11415.pos,1214388.412,1151253.91,1026680.005,1647410.521,638840.0875,Organonitrogen compounds
MP11416.pos,1586424.741,393762.4796,195529.1476,335156.8521,249818.5437,Unclassified
MP11417.pos,450960.0417,464139.5123,284740.2072,395892.8499,378465.9187,Unclassified
MP11418.pos,789135.706,825858.3668,838821.2386,990826.7164,892954.8186,Unclassified
MP11419.pos,1245999.775,1098303.712,1023470.077,1517588.771,1013647.064,Unclassified
MP11420.pos,2041474.845,2205559.66,1893365.447,2263148.975,1719223.747,Pyridines and derivatives
MP11421.pos,3402310.135,2948302.656,3154772.465,4481132.958,3299368.09,0
MP11422.pos,4264840.662,2644375.616,2448402.529,3825600.971,2345788.517,Unclassified
MP11423.pos,1168168.173,1104013.218,888420.4029,1402483.444,1025424.117,Unclassified
MP11424.pos,1582887.12,672740.3185,661089.5384,2476973.947,750820.4361,Unclassified
MP11425.pos,488070.7798,109126.7662,84607.95175,1110514.203,82715.63682,Unclassified
MP11426.pos,699670.695,141888.3401,517392.7744,354284.1155,452173.3311,Unclassified
MP11427.pos,1003166.913,573304.6335,775804.0172,461829.6039,865958.4312,Unclassified
MP11429.pos,95097.86159,49749.12688,164469.0162,98613.52282,90143.05352,Unclassified
MP11432.pos,449223.3959,51946.40916,303417.9756,304534.7037,93297.50928,Unclassified
MP11433.pos,78519.7519,71264.19966,66600.41528,91656.02237,104125.376,Unclassified
MP11434.pos,27554.38256,5882.026978,13488.14666,21062.23176,8781.4108,Unclassified
MP11437.pos,18948.61778,19581.77731,18650.67495,10170.41425,11651.70512,Unclassified
MP11438.pos,18267.94967,14837.36044,18288.46836,13424.27492,12645.84368,Unclassified
MP11439.pos,20475.08782,14204.52663,13788.73862,14104.82334,24294.59348,Unclassified
MP11440.pos,19360.71475,16064.83471,19967.57929,19743.05367,12406.40509,Unclassified
